"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"300833B2DDD9014000000038","1617967947840766","1","32.5","15","924.125","-42.5","1.77941771394734","101.953125","84","0",""
"300833B2DDD9014000000042","1617967947848290","1","32.5","15","924.125","-58","5.69106872305573","326.07421875","104","-¡Þ",""
"300833B2DDD9014000000041","1617967947854712","1","32.5","15","924.125","-47","6.13285518996679","351.38671875","104","-¡Þ",""
"300833B2DDD9014000000045","1617967947860711","1","32.5","15","924.125","-52","4.62341809468732","264.90234375","117","0",""
"300833B2DDD9014000000037","1617967947867015","1","32.5","15","924.125","-50","4.35957339917099","249.78515625","58","0",""
"300833B2DDD9014000000044","1617967947873564","1","32.5","15","924.125","-53","3.81961216183525","218.84765625","117","0",""
"300833B2DDD9014000000040","1617967947880326","1","32.5","15","924.125","-30","0.291456349698272","16.69921875","84","¡Þ",""
"300833B2DDD9014000000039","1617967947886761","1","32.5","15","924.125","-42.5","4.06811704947272","233.0859375","71","0",""
"300833B2DDD9014000000043","1617967947892956","1","32.5","15","924.125","-59","1.47875747952176","84.7265625","143","¡Þ",""
"300833B2DDD9014000000038","1617967947927961","1","32.5","15","924.125","-43","4.93021425226445","282.48046875","104","0",""
"300833B2DDD9014000000039","1617967947936545","1","32.5","15","924.125","-42.5","0.926524395882927","53.0859375","117","0",""
"300833B2DDD9014000000041","1617967947943414","1","32.5","15","924.125","-47","6.17887461360336","354.0234375","136","0.0135362404081045",""
"300833B2DDD9014000000045","1617967947949324","1","32.5","15","924.125","-52","1.54011671103718","88.2421875","52","0",""
"300833B2DDD9014000000037","1617967947955254","1","32.5","15","924.125","-50","4.40866078438333","252.59765625","104","0.0145144176965401",""
"300833B2DDD9014000000044","1617967947961940","1","32.5","15","924.125","-53","0.745514662912422","42.71484375","84","0",""
"300833B2DDD9014000000040","1617967947968040","1","32.5","15","924.125","-30","0.319068003880213","18.28125","110","0.00821322660017571",""
"300833B2DDD9014000000042","1617967947974903","1","32.5","15","924.125","-58.5","5.70334056935881","326.77734375","45","0.00252884321342398",""
"300833B2DDD9014000000043","1617967947981202","1","32.5","15","924.125","-59","1.47568951794599","84.55078125","84","-0.000907079147443652",""
"300833B2DDD9014000000043","1617967948029243","1","32.5","15","924.125","-59","1.44500990218827","82.79296875","201","-0.0166620400169256",""
"300833B2DDD9014000000039","1617967948035305","1","32.5","15","924.125","-42.5","4.10800054995775","235.37109375","78","0",""
"300833B2DDD9014000000042","1617967948042724","1","32.5","15","924.125","-58.5","5.68800076147996","325.8984375","13","-0.00590127736580945",""
"300833B2DDD9014000000045","1617967948049761","1","32.5","15","924.125","-52","1.54011671103718","88.2421875","71","0",""
"300833B2DDD9014000000038","1617967948055686","1","32.5","15","924.125","-42.5","1.81316529128083","103.88671875","65","0",""
"300833B2DDD9014000000041","1617967948062423","1","32.5","15","924.125","-47","6.20955422936108","355.78125","169","0.00672605487360725",""
"300833B2DDD9014000000040","1617967948070828","1","32.5","15","924.125","-30","0.362019465941011","20.7421875","39","0.0109024933867219",""
"300833B2DDD9014000000037","1617967948079586","1","32.5","15","924.125","-49.5","4.45774816959567","255.41015625","52","0.0103009499012724",""
"300833B2DDD9014000000044","1617967948086382","1","32.5","15","924.125","-53","0.779262240245906","44.6484375","26","0.00707564303770783",""
"300833B2DDD9014000000040","1617967948120889","1","32.5","15","924.125","-29.5","0.368155389092554","21.09375","91","0.00319794276763598",""
"300833B2DDD9014000000039","1617967948129862","1","32.5","15","924.125","-42","4.16015589674586","238.359375","58","0.0143911482975381",""
"300833B2DDD9014000000044","1617967948135982","1","32.5","15","924.125","-53.5","0.782330201821677","44.82421875","91","0.00161383279123614",""
"300833B2DDD9014000000037","1617967948143136","1","32.5","15","924.125","-49.5","4.4976316700807","257.6953125","65","0.0163744985647374",""
"300833B2DDD9014000000045","1617967948149405","1","32.5","15","924.125","-52","4.67864140305121","268.06640625","91","0",""
"300833B2DDD9014000000038","1617967948155515","1","32.5","15","924.125","-43","1.85611675334163","106.34765625","91","0.0112256507651522",""
"300833B2DDD9014000000041","1617967948161643","1","32.5","15","924.125","-47","6.27704938402804","359.6484375","71","0.0177485823603797",""
"300833B2DDD9014000000042","1617967948167543","1","32.5","15","924.125","-58.5","2.54027218473862","145.546875","32","0",""
"300833B2DDD9014000000043","1617967948195463","1","32.5","15","924.125","-59.5","1.4419419406125","82.6171875","14","-0.000481567238872052",""
"300833B2DDD9014000000043","1617967948245200","1","32.5","15","924.125","-59","1.43580601746096","82.265625","110","-0.00321877501438818",""
"300833B2DDD9014000000038","1617967948253185","1","32.5","15","924.125","-43","1.90827210012974","109.3359375","78","0.0139324645189957",""
"300833B2DDD9014000000042","1617967948259604","1","32.5","15","924.125","-58.5","2.50652460740514","143.61328125","162","-0.00956438851303416",""
"300833B2DDD9014000000040","1617967948265764","1","32.5","15","924.125","-29.5","0.411106851153352","23.5546875","110","0.00773525791361087",""
"300833B2DDD9014000000039","1617967948271857","1","32.5","15","924.125","-42","1.07992247467149","61.875","130","0",""
"300833B2DDD9014000000041","1617967948277845","1","32.5","15","924.125","-47.5","0.0736310778185108","4.21875","117","0.0179101802686539",""
"300833B2DDD9014000000044","1617967948283920","1","32.5","15","924.125","-53.5","0.840621471761331","48.1640625","136","0.0102804960352373",""
"300833B2DDD9014000000037","1617967948290321","1","32.5","15","924.125","-49","4.55899090159613","261.2109375","71","0.0108769380637038",""
"300833B2DDD9014000000045","1617967948296985","1","32.5","15","924.125","-52","4.69704917250583","269.12109375","84","0.00325434773459734",""
"300833B2DDD9014000000038","1617967948329829","1","32.5","15","924.125","-43","1.93895171588745","111.09375","84","0.0104438842499494",""
"300833B2DDD9014000000040","1617967948338374","1","32.5","15","924.125","-29.5","0.45405831321415","26.015625","58","0.0154337624326453",""
"300833B2DDD9014000000044","1617967948344855","1","32.5","15","924.125","-53.5","0.865165164367502","49.5703125","104","0.0105090481917207",""
"300833B2DDD9014000000041","1617967948352021","1","32.5","15","924.125","-47.5","0.11965050145508","6.85546875","78","0.0161870631562727",""
"300833B2DDD9014000000043","1617967948358621","1","32.5","15","924.125","-59","1.42660213273365","81.73828125","130","-0.00211722978404297",""
"300833B2DDD9014000000042","1617967948364590","1","32.5","15","924.125","-58.5","2.50652460740514","143.61328125","162","0",""
"300833B2DDD9014000000037","1617967948370552","1","32.5","15","924.125","-49","4.58660255577807","262.79296875","104","0.00897925936368502",""
"300833B2DDD9014000000039","1617967948376321","1","32.5","15","924.125","-42","4.30741805238288","246.796875","71","0",""
"300833B2DDD9014000000045","1617967948383372","1","32.5","15","924.125","-52","1.5707963267949","90","78","0",""
"300833B2DDD9014000000040","1617967948430879","1","32.5","15","924.125","-28.5","3.62019465941011","207.421875","182","0",""
"300833B2DDD9014000000045","1617967948435787","1","32.5","15","924.125","-52","1.63215555831032","93.515625","-117","0.0305432057408423",""
"300833B2DDD9014000000041","1617967948441031","1","32.5","15","924.125","-47","3.26431111662064","187.03125","182","0",""
"300833B2DDD9014000000042","1617967948446429","1","32.5","15","924.125","-57.5","2.54640810789016","145.8984375","130","0.0127152016005702",""
"300833B2DDD9014000000043","1617967948450993","1","32.5","15","924.125","-59","1.53398078788564","87.890625","-299","0.0303296856794909",""
"300833B2DDD9014000000044","1617967948456005","1","32.5","15","924.125","-53","4.00062189480575","229.21875","351","0",""
"300833B2DDD9014000000037","1617967948461895","1","32.5","15","924.125","-49","1.4848934026733","85.078125","52","0",""
"300833B2DDD9014000000038","1617967948469139","1","32.5","15","924.125","-42.5","2.00644687055442","114.9609375","26","0.0126409758222445",""
"300833B2DDD9014000000039","1617967948474878","1","32.5","15","924.125","-41.5","1.20877686085389","69.2578125","0","0",""
"300833B2DDD9014000000040","1617967948508966","1","32.5","15","924.125","-29.5","0.564504929941916","32.34375","78","0",""
"300833B2DDD9014000000037","1617967948515558","1","32.5","15","924.125","-48.5","4.64796178729349","266.30859375","91","0",""
"300833B2DDD9014000000041","1617967948522241","1","32.5","15","924.125","-47.5","0.162601963515878","9.31640625","110","0",""
"300833B2DDD9014000000038","1617967948529838","1","32.5","15","924.125","-43.5","2.03405852473636","116.54296875","71","0.0118686462381227",""
"300833B2DDD9014000000043","1617967948535828","1","32.5","15","924.125","-59","1.43580601746096","82.265625","71","-0.0301936159161902",""
"300833B2DDD9014000000045","1617967948542513","1","32.5","15","924.125","-52.5","4.75227248086972","272.28515625","71","0",""
"300833B2DDD9014000000039","1617967948548912","1","32.5","15","924.125","-42","4.39945689965602","252.0703125","71","0",""
"300833B2DDD9014000000044","1617967948555122","1","32.5","15","924.125","-54","4.07118501104849","233.26171875","117","0.0185746183625633",""
"300833B2DDD9014000000042","1617967948561792","1","32.5","15","924.125","-59","5.62357356838876","322.20703125","117","0",""
"300833B2DDD9014000000039","1617967948611338","1","32.5","15","924.125","-42","4.4332044769895","254.00390625","71","0.0141048148351398",""
"300833B2DDD9014000000037","1617967948618736","1","32.5","15","924.125","-48.5","4.70318509565738","269.47265625","78","0.0139645071237631",""
"300833B2DDD9014000000038","1617967948624797","1","32.5","15","924.125","-43.5","5.20939875565964","298.4765625","84","0",""
"300833B2DDD9014000000040","1617967948631002","1","32.5","15","924.125","-29.5","0.632000084608884","36.2109375","65","0.0144302856681379",""
"300833B2DDD9014000000041","1617967948637465","1","32.5","15","924.125","-47.5","3.38089365649995","193.7109375","110","0",""
"300833B2DDD9014000000045","1617967948644727","1","32.5","15","924.125","-52","4.73079674983932","271.0546875","117","-0.00548185909089936",""
"300833B2DDD9014000000044","1617967948650852","1","32.5","15","924.125","-54","0.929592357458699","53.26171875","110","0",""
"300833B2DDD9014000000043","1617967948656993","1","32.5","15","924.125","-59","1.46034971006713","83.671875","78","0.00528509760708538",""
