"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"300833B2DDD9014000000044","1617967886201941","1","32.5","15","924.125","-52.5","0.736310778185108","42.1875","117","¡Þ",""
"300833B2DDD9014000000040","1617967886208015","1","32.5","15","924.125","-30","0.273048580243644","15.64453125","130","¡Þ",""
"300833B2DDD9014000000045","1617967886215646","1","32.5","15","924.125","-52.5","4.63875790256618","265.78125","52","0",""
"300833B2DDD9014000000041","1617967886222010","1","32.5","15","924.125","-45.5","4.95782590644639","284.0625","91","-¡Þ",""
"300833B2DDD9014000000037","1617967886227863","1","32.5","15","924.125","-53.5","0.481669967396091","27.59765625","84","¡Þ",""
"300833B2DDD9014000000039","1617967886233877","1","32.5","15","924.125","-42.5","3.48213638850041","199.51171875","84","0",""
"300833B2DDD9014000000042","1617967886241252","1","32.5","15","924.125","-59","5.70640853093458","326.953125","19","-¡Þ",""
"300833B2DDD9014000000038","1617967886248043","1","32.5","15","924.125","-41","4.34423359129214","248.90625","123","0",""
"300833B2DDD9014000000043","1617967886255897","1","32.5","15","924.125","-60","1.32229143915742","75.76171875","84","¡Þ",""
"300833B2DDD9014000000041","1617967886291322","1","32.5","15","924.125","-46","1.84077694546277","105.46875","71","0",""
"300833B2DDD9014000000043","1617967886298277","1","32.5","15","924.125","-59.5","4.47308797747453","256.2890625","39","0",""
"300833B2DDD9014000000042","1617967886304317","1","32.5","15","924.125","-59","5.72788426196498","328.18359375","39","0.00888484492376417",""
"300833B2DDD9014000000040","1617967886310339","1","32.5","15","924.125","-30","0.291456349698272","16.69921875","136","0.00469368514397282",""
"300833B2DDD9014000000038","1617967886316624","1","32.5","15","924.125","-41","4.37798116862562","250.83984375","26","0.0128389374739131",""
"300833B2DDD9014000000039","1617967886324412","1","32.5","15","924.125","-43","0.346679658062155","19.86328125","110","0",""
"300833B2DDD9014000000045","1617967886330454","1","32.5","15","924.125","-52.5","1.54318467261295","88.41796875","91","0",""
"300833B2DDD9014000000037","1617967886336433","1","32.5","15","924.125","-53","3.65701019831937","209.53125","123","0",""
"300833B2DDD9014000000044","1617967886345470","1","32.5","15","924.125","-52.5","3.95153450959341","226.40625","84","0",""
"300833B2DDD9014000000043","1617967886392866","1","32.5","15","924.125","-60","1.32229143915742","75.76171875","84","0",""
"300833B2DDD9014000000037","1617967886399508","1","32.5","15","924.125","-53","0.530757352608432","30.41015625","71","0",""
"300833B2DDD9014000000039","1617967886405831","1","32.5","15","924.125","-42.5","0.368155389092554","21.09375","117","0.00688196545176418",""
"300833B2DDD9014000000044","1617967886412016","1","32.5","15","924.125","-52.5","0.816077779155161","46.7578125","149","0",""
"300833B2DDD9014000000042","1617967886417952","1","32.5","15","924.125","-59.5","5.69106872305573","326.07421875","65","-0.00845297027626831",""
"300833B2DDD9014000000041","1617967886425918","1","32.5","15","924.125","-46","4.98543756062833","285.64453125","78","0",""
"300833B2DDD9014000000040","1617967886436095","1","32.5","15","924.125","-30","0.340543734910612","19.51171875","45","0.0101843069366472",""
"300833B2DDD9014000000038","1617967886443206","1","32.5","15","924.125","-41","1.23638851503583","70.83984375","78","0",""
"300833B2DDD9014000000045","1617967886449982","1","32.5","15","924.125","-52.5","4.66636955674812","267.36328125","104","0",""
"300833B2DDD9014000000040","1617967886483109","1","32.5","15","924.125","-29","0.251572849213245","14.4140625","71","-0.0493754432065781",""
"300833B2DDD9014000000044","1617967886489186","1","32.5","15","924.125","-53","0.849825356488645","48.69140625","143","0.0114099672268814",""
"300833B2DDD9014000000039","1617967886495271","1","32.5","15","924.125","-43","0.392699081698724","22.5","84","0.00715975907382044",""
"300833B2DDD9014000000042","1617967886503985","1","32.5","15","924.125","-59.5","5.70334056935881","326.77734375","52","0.00372164664467414",""
"300833B2DDD9014000000037","1617967886511431","1","32.5","15","924.125","-52","0.57370881466923","32.87109375","78","0.0100126470004769",""
"300833B2DDD9014000000038","1617967886518292","1","32.5","15","924.125","-41","1.26706813079354","72.59765625","58","0.0106605900494516",""
"300833B2DDD9014000000045","1617967886525842","1","32.5","15","924.125","-53","1.60454390412838","91.93359375","84","0",""
"300833B2DDD9014000000043","1617967886533248","1","32.5","15","924.125","-59.5","1.33763124703628","76.640625","91","0.00285101033057345",""
"300833B2DDD9014000000041","1617967886539402","1","32.5","15","924.125","-45.5","5.02838902268913","288.10546875","52","0.00987492060761319",""
"300833B2DDD9014000000038","1617967886588052","1","32.5","15","924.125","-41","1.2824079386724","73.4765625","45","0.00573724960187159",""
"300833B2DDD9014000000042","1617967886595226","1","32.5","15","924.125","-59.5","2.59242753152673","148.53515625","6","0",""
"300833B2DDD9014000000037","1617967886601886","1","32.5","15","924.125","-51.5","0.632000084608884","36.2109375","78","0.0168136202803708",""
"300833B2DDD9014000000040","1617967886609002","1","32.5","15","924.125","-28.5","0.177941771394734","10.1953125","104","-0.0152598361679164",""
"300833B2DDD9014000000043","1617967886617495","1","32.5","15","924.125","-59.5","1.31922347758165","75.5859375","78","-0.00570081591833389",""
"300833B2DDD9014000000041","1617967886623719","1","32.5","15","924.125","-45.5","1.90827210012974","109.3359375","58","0",""
"300833B2DDD9014000000039","1617967886630053","1","32.5","15","924.125","-43","0.420310735880666","24.08203125","117","0.00534503834345693",""
"300833B2DDD9014000000045","1617967886645889","1","32.5","15","924.125","-53.5","1.62601963515878","93.1640625","0","0.00466752809413969",""
"300833B2DDD9014000000044","1617967886675203","1","32.5","15","924.125","-53.5","0.963339934792183","55.1953125","4","0.0159216949981806",""
"300833B2DDD9014000000045","1617967886727866","1","32.5","15","924.125","-53","1.65669925091649","94.921875","52","0.0097644591099104",""
"300833B2DDD9014000000043","1617967886733762","1","32.5","15","924.125","-59.5","1.33149532388474","76.2890625","45","0.00275387191362338",""
"300833B2DDD9014000000038","1617967886739745","1","32.5","15","924.125","-41.5","1.34376717018782","76.9921875","39","0.0105536981199281",""
"300833B2DDD9014000000040","1617967886745767","1","32.5","15","924.125","-28.5","0.165669925091649","9.4921875","78","-0.00234112840113516",""
"300833B2DDD9014000000039","1617967886752135","1","32.5","15","924.125","-43","0.426446659032208","24.43359375","130","0.00131134985411957",""
"300833B2DDD9014000000037","1617967886758161","1","32.5","15","924.125","-51","3.85335973916873","220.78125","71","0",""
"300833B2DDD9014000000042","1617967886768190","1","32.5","15","924.125","-60","5.66038910729802","324.31640625","78","0",""
"300833B2DDD9014000000041","1617967886778327","1","32.5","15","924.125","-45","1.96656337006939","112.67578125","110","0.0098369814140338",""
"300833B2DDD9014000000044","1617967886784519","1","32.5","15","924.125","-53","4.09879666523043","234.84375","78","0",""
"300833B2DDD9014000000038","1617967886835992","1","32.5","15","924.125","-41","4.43013651541373","253.828125","117","0",""
"300833B2DDD9014000000045","1617967886842531","1","32.5","15","924.125","-53","1.66283517406803","95.2734375","52","0.00139617331261174",""
"300833B2DDD9014000000037","1617967886850004","1","32.5","15","924.125","-51","3.89017527807799","222.890625","71","0.010458644396892",""
"300833B2DDD9014000000040","1617967886855975","1","32.5","15","924.125","-28.5","0.187145656122048","10.72265625","65","0.00508422932198377",""
"300833B2DDD9014000000044","1617967886862035","1","32.5","15","924.125","-52.5","0.966407896367954","55.37109375","104","0",""
"300833B2DDD9014000000041","1617967886867985","1","32.5","15","924.125","-45","2.00644687055442","114.9609375","84","0.0116063193891127",""
"300833B2DDD9014000000042","1617967886874312","1","32.5","15","924.125","-59.5","5.67572891517687","325.1953125","-32","0.00377141904813858",""
"300833B2DDD9014000000039","1617967886880820","1","32.5","15","924.125","-43","0.395767043274495","22.67578125","123","-0.00622031366867253",""
"300833B2DDD9014000000043","1617967886887696","1","32.5","15","924.125","-60","1.28547590024817","73.65234375","78","-0.00780004155469024",""
"300833B2DDD9014000000038","1617967886920723","1","32.5","15","924.125","-41","4.40559282280756","252.421875","52","-0.00755766899437632",""
"300833B2DDD9014000000043","1617967886928592","1","32.5","15","924.125","-59.5","1.32535940073319","75.9375","-6","0.0254450162311488",""
"300833B2DDD9014000000045","1617967886934672","1","32.5","15","924.125","-53","4.78295209662743","274.04296875","110","0",""
"300833B2DDD9014000000039","1617967886941248","1","32.5","15","924.125","-43","3.53735969686429","202.67578125","104","0",""
"300833B2DDD9014000000041","1617967886948251","1","32.5","15","924.125","-45.5","2.0187187168575","115.6640625","65","0.00398904175841888",""
"300833B2DDD9014000000044","1617967886955187","1","32.5","15","924.125","-53","4.11720443468506","235.8984375","78","0",""
"300833B2DDD9014000000040","1617967886961029","1","32.5","15","924.125","-28.5","0.230097118182846","13.18359375","91","0.0106673281382372",""
"300833B2DDD9014000000037","1617967886966981","1","32.5","15","924.125","-50.5","0.803805932852076","46.0546875","123","0",""
