"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"300833B2DDD9014000000037","1617967927389747","1","32.5","15","924.125","-49.5","4.49456370850493","257.51953125","52","0",""
"300833B2DDD9014000000045","1617967927396300","1","32.5","15","924.125","-52.5","1.58000021152221","90.52734375","117","¡Þ",""
"300833B2DDD9014000000040","1617967927405985","1","32.5","15","924.125","-31","0.773126317094363","44.296875","58","¡Þ",""
"300833B2DDD9014000000038","1617967927412001","1","32.5","15","924.125","-42.5","5.07747640790147","290.91796875","52","-¡Þ",""
"300833B2DDD9014000000041","1617967927419175","1","32.5","15","924.125","-47","6.12671926681525","351.03515625","71","-¡Þ",""
"300833B2DDD9014000000039","1617967927425129","1","32.5","15","924.125","-42.5","1.1106020904292","63.6328125","104","¡Þ",""
"300833B2DDD9014000000044","1617967927431009","1","32.5","15","924.125","-53.5","4.05584520316964","232.3828125","123","0",""
"300833B2DDD9014000000042","1617967927437515","1","32.5","15","924.125","-59","5.67572891517687","325.1953125","78","-¡Þ",""
"300833B2DDD9014000000043","1617967927443828","1","32.5","15","924.125","-59","1.41739824800633","81.2109375","32","¡Þ",""
"300833B2DDD9014000000041","1617967927476767","1","32.5","15","924.125","-47","6.11751538208794","350.5078125","110","-0.00416964716168804",""
"300833B2DDD9014000000037","1617967927483829","1","32.5","15","924.125","-50","4.51603943953533","258.75","39","0.00595568488251937",""
"300833B2DDD9014000000040","1617967927489841","1","32.5","15","924.125","-31","0.776194278670134","44.47265625","104","0.000954566237899643",""
"300833B2DDD9014000000039","1617967927498316","1","32.5","15","924.125","-42.5","1.12287393673229","64.3359375","123","0.00437488113710427",""
"300833B2DDD9014000000044","1617967927505827","1","32.5","15","924.125","-53.5","0.926524395882927","53.0859375","71","0",""
"300833B2DDD9014000000038","1617967927511779","1","32.5","15","924.125","-42.5","1.96042744691785","112.32421875","58","0",""
"300833B2DDD9014000000043","1617967927518949","1","32.5","15","924.125","-59","1.43580601746096","82.265625","71","0.00639337387244412",""
"300833B2DDD9014000000045","1617967927524770","1","32.5","15","924.125","-52.5","4.70932101880892","269.82421875","84","0",""
"300833B2DDD9014000000042","1617967927530836","1","32.5","15","924.125","-59","2.56788383892056","147.12890625","13","0",""
"300833B2DDD9014000000043","1617967927579623","1","32.5","15","924.125","-58.5","1.39285455540016","79.8046875","169","-0.0184699457796482",""
"300833B2DDD9014000000040","1617967927585741","1","32.5","15","924.125","-31","0.766990393942821","43.9453125","58","-0.00250404921101082",""
"300833B2DDD9014000000041","1617967927593931","1","32.5","15","924.125","-47","6.15739888257296","352.79296875","65","0.00888156245765817",""
"300833B2DDD9014000000045","1617967927601333","1","32.5","15","924.125","-52.5","1.56772836521913","89.82421875","39","0",""
"300833B2DDD9014000000042","1617967927607456","1","32.5","15","924.125","-59","5.68493279990419","325.72265625","58","0",""
"300833B2DDD9014000000044","1617967927615178","1","32.5","15","924.125","-53.5","0.923456434307156","52.91015625","65","-0.000732010740142408",""
"300833B2DDD9014000000037","1617967927621447","1","32.5","15","924.125","-49.5","4.52831128583841","259.453125","65","0.00232661734497849",""
"300833B2DDD9014000000039","1617967927627547","1","32.5","15","924.125","-42","4.29514620607979","246.09375","58","0",""
"300833B2DDD9014000000038","1617967927634006","1","32.5","15","924.125","-42.5","1.96963133164516","112.8515625","78","0.00196469126572637",""
"300833B2DDD9014000000045","1617967927667239","1","32.5","15","924.125","-52.5","4.69091324935429","268.76953125","130","0",""
"300833B2DDD9014000000039","1617967927673506","1","32.5","15","924.125","-42","4.29207824450402","245.91796875","65","-0.00174168512033144",""
"300833B2DDD9014000000044","1617967927679668","1","32.5","15","924.125","-53.5","4.07425297262426","233.4375","65","0",""
"300833B2DDD9014000000042","1617967927685704","1","32.5","15","924.125","-59","5.67879687675264","325.37109375","58","-0.00204595916688765",""
"300833B2DDD9014000000038","1617967927692840","1","32.5","15","924.125","-42.5","5.11122398523496","292.8515625","71","0",""
"300833B2DDD9014000000041","1617967927700838","1","32.5","15","924.125","-47.5","6.2064862677853","355.60546875","45","0.0119799237012076",""
"300833B2DDD9014000000040","1617967927708111","1","32.5","15","924.125","-31","0.748582624488193","42.890625","130","-0.00392479070582557",""
"300833B2DDD9014000000037","1617967927714407","1","32.5","15","924.125","-49.5","4.5405831321415","260.15625","91","0.00344432471795665",""
"300833B2DDD9014000000043","1617967927722486","1","32.5","15","924.125","-58.5","4.58967051735384","262.96875","6","0",""
"300833B2DDD9014000000041","1617967927777746","1","32.5","15","924.125","-47.5","6.21262219093685","355.95703125","117","0.00208160676250358",""
"300833B2DDD9014000000042","1617967927783618","1","32.5","15","924.125","-59","2.50959256898091","143.7890625","117","0",""
"300833B2DDD9014000000038","1617967927789980","1","32.5","15","924.125","-42.5","5.11429194681073","293.02734375","78","0.000824028273062719",""
"300833B2DDD9014000000045","1617967927796064","1","32.5","15","924.125","-52.5","4.74613655771817","271.93359375","78","0.0111843967864593",""
"300833B2DDD9014000000039","1617967927802194","1","32.5","15","924.125","-42","4.28594232135248","245.56640625","110","-0.00124403373189905",""
"300833B2DDD9014000000043","1617967927808839","1","32.5","15","924.125","-58.5","1.41126232485479","80.859375","123","0",""
"300833B2DDD9014000000044","1617967927815836","1","32.5","15","924.125","-53.5","4.09266074207889","234.4921875","136","0.00352708888044089",""
"300833B2DDD9014000000040","1617967927821864","1","32.5","15","924.125","-31","0.770058355518592","44.12109375","52","0.00492578433199289",""
"300833B2DDD9014000000037","1617967927829810","1","32.5","15","924.125","-49.5","4.55285497844458","260.859375","78","0.00277448962142449",""
"300833B2DDD9014000000038","1617967927863481","1","32.5","15","924.125","-42.5","1.96963133164516","112.8515625","32","0",""
"300833B2DDD9014000000040","1617967927869813","1","32.5","15","924.125","-31","0.776194278670134","44.47265625","58","0.00333880191225312",""
"300833B2DDD9014000000041","1617967927879778","1","32.5","15","924.125","-47.5","6.24023384511879","357.5390625","91","0.00706067663093748",""
"300833B2DDD9014000000039","1617967927885632","1","32.5","15","924.125","-42.5","4.29207824450402","245.91796875","58","0.00191869667166788",""
"300833B2DDD9014000000044","1617967927892674","1","32.5","15","924.125","-53.5","0.948000126913326","54.31640625","123","0",""
"300833B2DDD9014000000037","1617967927898690","1","32.5","15","924.125","-49.5","4.57126274789921","261.9140625","84","0.00697265735586346",""
"300833B2DDD9014000000045","1617967927905058","1","32.5","15","924.125","-52.5","4.72466082668778","270.703125","78","-0.0051408586263206",""
"300833B2DDD9014000000042","1617967927911023","1","32.5","15","924.125","-59","2.51879645370822","144.31640625","91","0.00188484219093393",""
"300833B2DDD9014000000043","1617967927917554","1","32.5","15","924.125","-59","1.40205844012748","80.33203125","58","-0.00220887935736501",""
"300833B2DDD9014000000045","1617967927964422","1","32.5","15","924.125","-52.5","1.5922720578253","91.23046875","78","0",""
"300833B2DDD9014000000043","1617967927971173","1","32.5","15","924.125","-59","4.57433070947498","262.08984375","45","0",""
"300833B2DDD9014000000039","1617967927977265","1","32.5","15","924.125","-42.5","1.13821374461115","65.21484375","123","0",""
"300833B2DDD9014000000042","1617967927984075","1","32.5","15","924.125","-59","2.48811683795051","142.55859375","104","-0.0109574147792412",""
"300833B2DDD9014000000037","1617967927991117","1","32.5","15","924.125","-49.5","4.58967051735384","262.96875","45","0.00519628072610682",""
"300833B2DDD9014000000040","1617967927998184","1","32.5","15","924.125","-30.5","0.773126317094363","44.296875","78","-0.00062355287756045",""
"300833B2DDD9014000000044","1617967928004286","1","32.5","15","924.125","-53.5","0.95720401164064","54.84375","91","0.00215154570598088",""
"300833B2DDD9014000000041","1617967928013126","1","32.5","15","924.125","-47.5","6.25557365299764","358.41796875","71","0.00300139883782706",""
"300833B2DDD9014000000038","1617967928020475","1","32.5","15","924.125","-42.5","1.93895171588745","111.09375","65","-0.00509867297127995",""
"300833B2DDD9014000000037","1617967928058520","1","32.5","15","924.125","-49.5","4.60194236365692","263.671875","78","0.00475029933061214",""
"300833B2DDD9014000000040","1617967928065176","1","32.5","15","924.125","-30.5","0.748582624488193","42.890625","91","-0.00955888541262389",""
"300833B2DDD9014000000039","1617967928072017","1","32.5","15","924.125","-42.5","4.31048601395865","246.97265625","52","0",""
"300833B2DDD9014000000045","1617967928077943","1","32.5","15","924.125","-52.5","4.72772878826355","270.87890625","45","0",""
"300833B2DDD9014000000041","1617967928085322","1","32.5","15","924.125","-47.5","6.2709134608765","359.296875","45","0.00554366630043995",""
"300833B2DDD9014000000038","1617967928091777","1","32.5","15","924.125","-42.5","1.92054394643282","110.0390625","136","-0.00673580879459026",""
"300833B2DDD9014000000044","1617967928101998","1","32.5","15","924.125","-53.5","0.98174770424681","56.25","130","0.00655363570045133",""
"300833B2DDD9014000000043","1617967928108534","1","32.5","15","924.125","-59","1.42660213273365","81.73828125","149","0",""
"300833B2DDD9014000000042","1617967928114485","1","32.5","15","924.125","-59","2.54947606946594","146.07421875","13","0.0122760687746818",""
"300833B2DDD9014000000042","1617967928166127","1","32.5","15","924.125","-59","5.6511852225707","323.7890625","78","0",""
"300833B2DDD9014000000041","1617967928172550","1","32.5","15","924.125","-47.5","6.27398142245227","359.47265625","84","0.000917665273138356",""
"300833B2DDD9014000000045","1617967928178647","1","32.5","15","924.125","-52.5","4.7430685961424","271.7578125","104","0.00397432606675566",""
"300833B2DDD9014000000043","1617967928184747","1","32.5","15","924.125","-58.5","1.41739824800633","81.2109375","26","-0.00315088396121315",""
"300833B2DDD9014000000037","1617967928190808","1","32.5","15","924.125","-49.5","4.59887440208115","263.49609375","84","-0.000605089701600391",""
"300833B2DDD9014000000040","1617967928198447","1","32.5","15","924.125","-30.5","0.699495239275852","40.078125","149","-0.00961002546034021",""
"300833B2DDD9014000000038","1617967928204506","1","32.5","15","924.125","-42.5","1.91134006170551","109.51171875","84","-0.00213022664386216",""
"300833B2DDD9014000000039","1617967928210499","1","32.5","15","924.125","-42.5","4.29821416765557","246.26953125","65","-0.00231210139788023",""
"300833B2DDD9014000000044","1617967928220080","1","32.5","15","924.125","-53.5","0.987883627398353","56.6015625","65","0.00135577152225254",""
"300833B2DDD9014000000044","1617967928253037","1","32.5","15","924.125","-53","4.11720443468506","235.8984375","130","0",""
"300833B2DDD9014000000038","1617967928258020","1","32.5","15","924.125","-41.5","1.91440802328128","109.6875","0","0.00149579748187974",""
"300833B2DDD9014000000042","1617967928264158","1","32.5","15","924.125","-58","2.49118479952628","142.734375","273","0",""
"300833B2DDD9014000000037","1617967928268857","1","32.5","15","924.125","-49","1.46648563321867","84.0234375","-26","0",""
"300833B2DDD9014000000040","1617967928274128","1","32.5","15","924.125","-30","3.8349519697141","219.7265625","130","0",""
"300833B2DDD9014000000043","1617967928278855","1","32.5","15","924.125","-58.5","1.4419419406125","82.6171875","-78","0.00680461652104497",""
"300833B2DDD9014000000039","1617967928283977","1","32.5","15","924.125","-41.5","1.11673801358075","63.984375","52","0",""
"300833B2DDD9014000000041","1617967928289133","1","32.5","15","924.125","-47","3.14159265358979","180","156","0",""
"300833B2DDD9014000000045","1617967928294551","1","32.5","15","924.125","-52.5","1.63829148146186","93.8671875","78","0",""
"300833B2DDD9014000000043","1617967928342778","1","32.5","15","924.125","-59","1.41433028643056","81.03515625","104","-0.0112700429893436",""
"300833B2DDD9014000000044","1617967928349926","1","32.5","15","924.125","-53.5","1.01856324315607","58.359375","65","0",""
"300833B2DDD9014000000037","1617967928355915","1","32.5","15","924.125","-49","4.58967051735384","262.96875","104","0",""
"300833B2DDD9014000000041","1617967928364351","1","32.5","15","924.125","-47.5","0.00306796157577128","0.17578125","84","0",""
"300833B2DDD9014000000038","1617967928371454","1","32.5","15","924.125","-42.5","5.03759290741645","288.6328125","65","0",""
"300833B2DDD9014000000039","1617967928377461","1","32.5","15","924.125","-42.5","4.27673843662517","245.0390625","52","0",""
"300833B2DDD9014000000040","1617967928383467","1","32.5","15","924.125","-30","0.653475815639283","37.44140625","104","0",""
"300833B2DDD9014000000042","1617967928389736","1","32.5","15","924.125","-59","5.66959299202533","324.84375","-26","0",""
"300833B2DDD9014000000045","1617967928395716","1","32.5","15","924.125","-52.5","1.62601963515878","93.1640625","71","-0.00316497233016606",""
"300833B2DDD9014000000038","1617967928429904","1","32.5","15","924.125","-42.5","1.87452452279625","107.40234375","78","0",""
"300833B2DDD9014000000045","1617967928436186","1","32.5","15","924.125","-52.5","4.76761228874857","273.1640625","32","0",""
"300833B2DDD9014000000044","1617967928442155","1","32.5","15","924.125","-53.5","1.00015547370144","57.3046875","65","-0.00520743625835556",""
"300833B2DDD9014000000042","1617967928448074","1","32.5","15","924.125","-59","2.50652460740514","143.61328125","84","0",""
"300833B2DDD9014000000037","1617967928454082","1","32.5","15","924.125","-49","4.58046663262652","262.44140625","78","-0.00244622245088408",""
"300833B2DDD9014000000041","1617967928460344","1","32.5","15","924.125","-47.5","6.25557365299764","358.41796875","71","-0.00833874412147891",""
"300833B2DDD9014000000043","1617967928466630","1","32.5","15","924.125","-59","1.43887397903673","82.44140625","45","0.00517043609762055",""
"300833B2DDD9014000000040","1617967928472646","1","32.5","15","924.125","-30","0.62279619988157","35.68359375","71","-0.0089758919078833",""
"300833B2DDD9014000000039","1617967928478839","1","32.5","15","924.125","-42.5","4.24912678244323","243.45703125","58","-0.00710622578870971",""
"300833B2DDD9014000000043","1617967928530399","1","32.5","15","924.125","-59","1.40819436327902","80.68359375","136","-0.0125525108509327",""
"300833B2DDD9014000000042","1617967928536521","1","32.5","15","924.125","-59","2.54027218473862","145.546875","6","0.00995519543792822",""
"300833B2DDD9014000000038","1617967928544894","1","32.5","15","924.125","-42.5","4.99157348377988","285.99609375","110","0",""
"300833B2DDD9014000000041","1617967928551278","1","32.5","15","924.125","-47.5","6.21569015251262","356.1328125","136","-0.011443457714266",""
"300833B2DDD9014000000037","1617967928557568","1","32.5","15","924.125","-49.5","4.57433070947498","262.08984375","39","-0.00154699392082625",""
"300833B2DDD9014000000044","1617967928564014","1","32.5","15","924.125","-53.5","1.00629139685298","57.65625","39","0.00131374960315303",""
"300833B2DDD9014000000040","1617967928572164","1","32.5","15","924.125","-29.5","0.570640853093458","32.6953125","65","-0.0136737455492505",""
"300833B2DDD9014000000039","1617967928578169","1","32.5","15","924.125","-42","4.22458308983706","242.05078125","91","-0.00644688262924091",""
"300833B2DDD9014000000045","1617967928584242","1","32.5","15","924.125","-52.5","4.73386471141509","271.23046875","143","-0.00594712251376802",""
"300833B2DDD9014000000040","1617967928619160","1","32.5","15","924.125","-29.5","0.555301045214602","31.81640625","78","-0.00851626802763134",""
"300833B2DDD9014000000044","1617967928627832","1","32.5","15","924.125","-53.5","1.00015547370144","57.3046875","78","-0.00250857458539323",""
"300833B2DDD9014000000037","1617967928633806","1","32.5","15","924.125","-49.5","4.54671905529304","260.5078125","78","-0.00944955216568919",""
"300833B2DDD9014000000041","1617967928640762","1","32.5","15","924.125","-47","6.18501053675491","354.375","117","-0.00894529820362439",""
"300833B2DDD9014000000045","1617967928646759","1","32.5","15","924.125","-52.5","1.58613613467375","90.87890625","78","0",""
"300833B2DDD9014000000043","1617967928652868","1","32.5","15","924.125","-59","1.42353417115788","81.5625","0","0.00326801502606017",""
"300833B2DDD9014000000039","1617967928658832","1","32.5","15","924.125","-42","1.05537878206532","60.46875","117","0",""
"300833B2DDD9014000000038","1617967928664849","1","32.5","15","924.125","-42.5","1.86838859964471","107.05078125","52","0",""
"300833B2DDD9014000000042","1617967928672177","1","32.5","15","924.125","-59","5.64504929941916","323.4375","71","0",""
"300833B2DDD9014000000040","1617967928720547","1","32.5","15","924.125","-29.5","0.493941813699176","28.30078125","136","-0.0157902110616376",""
"300833B2DDD9014000000043","1617967928727545","1","32.5","15","924.125","-59","4.53751517056573","259.98046875","123","0",""
"300833B2DDD9014000000044","1617967928735673","1","32.5","15","924.125","-53.5","0.95720401164064","54.84375","91","-0.0103916459438838",""
"300833B2DDD9014000000041","1617967928743052","1","32.5","15","924.125","-47","6.17273869045182","353.671875","110","-0.00313016351335663",""
"300833B2DDD9014000000042","1617967928749079","1","32.5","15","924.125","-59","5.68800076147996","325.8984375","13","0.0145723842063194",""
"300833B2DDD9014000000038","1617967928755110","1","32.5","15","924.125","-42.5","1.82543713758391","104.58984375","130","-0.012415611285432",""
"300833B2DDD9014000000037","1617967928761133","1","32.5","15","924.125","-49.5","1.37137882436976","78.57421875","78","0",""
"300833B2DDD9014000000045","1617967928767161","1","32.5","15","924.125","-52.5","1.56466040364335","89.6484375","84","-0.00465376609289869",""
"300833B2DDD9014000000039","1617967928773121","1","32.5","15","924.125","-42","1.03390305103492","59.23828125","123","-0.0049026830676372",""
"300833B2DDD9014000000041","1617967928808841","1","32.5","15","924.125","-47","6.16046684414874","352.96875","110","-0.00486683831311085",""
"300833B2DDD9014000000038","1617967928814828","1","32.5","15","924.125","-42.5","1.83157306073546","104.94140625","71","0.00268080332379894",""
"300833B2DDD9014000000045","1617967928821683","1","32.5","15","924.125","-52.5","1.56466040364335","89.6484375","39","0",""
"300833B2DDD9014000000037","1617967928828251","1","32.5","15","924.125","-49.5","4.51603943953533","258.75","78","0",""
"300833B2DDD9014000000044","1617967928835944","1","32.5","15","924.125","-53.5","4.10493258838198","235.1953125","104","0",""
"300833B2DDD9014000000039","1617967928842017","1","32.5","15","924.125","-42","4.17856366620049","239.4140625","65","0",""
"300833B2DDD9014000000042","1617967928847947","1","32.5","15","924.125","-59","2.54027218473862","145.546875","-39","0",""
"300833B2DDD9014000000043","1617967928853965","1","32.5","15","924.125","-59","1.42660213273365","81.73828125","91","0",""
"300833B2DDD9014000000040","1617967928859924","1","32.5","15","924.125","-29.5","0.500077736850719","28.65234375","65","0.00114862719738999",""
"300833B2DDD9014000000045","1617967928909171","1","32.5","15","924.125","-52.5","1.55238855734027","88.9453125","58","-0.00365975248926996",""
"300833B2DDD9014000000044","1617967928915436","1","32.5","15","924.125","-53.5","0.954136050064869","54.66796875","110","0",""
"300833B2DDD9014000000040","1617967928921614","1","32.5","15","924.125","-29.5","0.50314569842649","28.828125","71","0.00129755400300393",""
"300833B2DDD9014000000038","1617967928930430","1","32.5","15","924.125","-42","1.80702936812929","103.53515625","78","-0.00553942709955278",""
"300833B2DDD9014000000037","1617967928936509","1","32.5","15","924.125","-49.5","4.51603943953533","258.75","52","0",""
"300833B2DDD9014000000042","1617967928942952","1","32.5","15","924.125","-59","5.68800076147996","325.8984375","65","0",""
"300833B2DDD9014000000043","1617967928949040","1","32.5","15","924.125","-59","1.44807786376405","82.96875","45","0.0058934814106462",""
"300833B2DDD9014000000041","1617967928957435","1","32.5","15","924.125","-47","6.09603965105754","349.27734375","149","-0.0113124906480178",""
"300833B2DDD9014000000039","1617967928963831","1","32.5","15","924.125","-42.5","4.18469958935203","239.765625","58","0.0013142349228383",""
"300833B2DDD9014000000044","1617967928999748","1","32.5","15","924.125","-53.5","4.07732093420003","233.61328125","71","0",""
"300833B2DDD9014000000037","1617967929007606","1","32.5","15","924.125","-49.5","4.51297147795956","258.57421875","78","-0.00112587178706995",""
