"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"300833B2DDD9014000000039","1617968164749581","1","32.5","15","924.125","-39.5","5.3198453723874","304.8046875","104","-¡Þ",""
"300833B2DDD9014000000045","1617968164758031","1","32.5","15","924.125","-60","0.521553467881118","29.8828125","-32","¡Þ",""
"300833B2DDD9014000000043","1617968164764116","1","32.5","15","924.125","-61.5","0.806873894427847","46.23046875","71","¡Þ",""
"300833B2DDD9014000000044","1617968164770271","1","32.5","15","924.125","-66","1.08299043624726","62.05078125","13","¡Þ",""
"300833B2DDD9014000000041","1617968164777275","1","32.5","15","924.125","-59.5","5.39654441178169","309.19921875","6","-¡Þ",""
"300833B2DDD9014000000037","1617968164783542","1","32.5","15","924.125","-40.5","2.6384469551633","151.171875","52","0",""
"300833B2DDD9014000000042","1617968164789776","1","32.5","15","924.125","-55","4.27060251347362","244.6875","78","0",""
"300833B2DDD9014000000040","1617968164795837","1","32.5","15","924.125","-54","1.73953421346232","99.66796875","91","0",""
"300833B2DDD9014000000038","1617968164804451","1","32.5","15","924.125","-62.5","6.20955422936108","355.78125","-45","-¡Þ",""
"300833B2DDD9014000000042","1617968164838790","1","32.5","15","924.125","-55","4.30128212923134","246.4453125","26","0.0163312740125908",""
"300833B2DDD9014000000041","1617968164845549","1","32.5","15","924.125","-59.5","5.40881625808477","309.90234375","39","0.00468969777340203",""
"300833B2DDD9014000000040","1617968164852419","1","32.5","15","924.125","-54","1.74873809818963","100.1953125","71","0.00424407619624505",""
"300833B2DDD9014000000045","1617968164858402","1","32.5","15","924.125","-60","0.539961237335746","30.9375","169","0.00478501398483501",""
"300833B2DDD9014000000039","1617968164864758","1","32.5","15","924.125","-39.5","2.20279641140378","126.2109375","104","0",""
"300833B2DDD9014000000044","1617968164870708","1","32.5","15","924.125","-66.5","1.05231082048955","60.29296875","117","-0.00796978269415778",""
"300833B2DDD9014000000037","1617968164877664","1","32.5","15","924.125","-40.5","5.79231145505618","331.875","104","0",""
"300833B2DDD9014000000043","1617968164884359","1","32.5","15","924.125","-62","4.00368985638152","229.39453125","-32","0",""
"300833B2DDD9014000000038","1617968164891093","1","32.5","15","924.125","-63","6.05922411214828","347.16796875","32","-0.0452697215648336",""
"300833B2DDD9014000000042","1617968164943609","1","32.5","15","924.125","-55","4.28594232135248","245.56640625","123","-0.00381830137882028",""
"300833B2DDD9014000000043","1617968164949693","1","32.5","15","924.125","-62.5","0.828349625458246","47.4609375","143","0",""
"300833B2DDD9014000000037","1617968164956012","1","32.5","15","924.125","-40.5","5.79844737820772","332.2265625","91","0.00204334779305949",""
"300833B2DDD9014000000041","1617968164962272","1","32.5","15","924.125","-59.5","5.32904925711472","305.33203125","-26","-0.0178302371218879",""
"300833B2DDD9014000000044","1617968164968291","1","32.5","15","924.125","-66","1.11367005200498","63.80859375","123","0.0164057482236276",""
"300833B2DDD9014000000040","1617968164974247","1","32.5","15","924.125","-54","1.74260217503809","99.84375","58","-0.00131408389607172",""
"300833B2DDD9014000000039","1617968164980508","1","32.5","15","924.125","-39.5","5.35359294972089","306.73828125","110","0",""
"300833B2DDD9014000000038","1617968164987745","1","32.5","15","924.125","-61","6.07456392002714","348.046875","-58","0.00414094413179823",""
"300833B2DDD9014000000045","1617968164994225","1","32.5","15","924.125","-60","0.524621429456889","30.05859375","143","-0.00294670661247773",""
