"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"300833B2DDD9014000000041","1617968205009827","1","32.5","15","924.125","-66","2.26722360449498","129.90234375","91","0",""
"300833B2DDD9014000000038","1617968205015687","1","32.5","15","924.125","-64","5.68800076147996","325.8984375","195","-¡Þ",""
"300833B2DDD9014000000039","1617968205022276","1","32.5","15","924.125","-40","5.68800076147996","325.8984375","65","-¡Þ",""
"300833B2DDD9014000000044","1617968205028833","1","32.5","15","924.125","-66.5","1.27320405394508","72.94921875","279","¡Þ",""
"300833B2DDD9014000000042","1617968205035192","1","32.5","15","924.125","-55","4.25526270559477","243.80859375","117","0",""
"300833B2DDD9014000000043","1617968205041444","1","32.5","15","924.125","-62","0.886640895397901","50.80078125","65","¡Þ",""
"300833B2DDD9014000000037","1617968205050361","1","32.5","15","924.125","-40.5","6.18501053675491","354.375","78","-¡Þ",""
"300833B2DDD9014000000045","1617968205056633","1","32.5","15","924.125","-60.5","0.809941856003619","46.40625","-32","¡Þ",""
"300833B2DDD9014000000040","1617968205066773","1","32.5","15","924.125","-49.5","2.51266053055668","143.96484375","84","0",""
"300833B2DDD9014000000045","1617968205103061","1","32.5","15","924.125","-60.5","0.785398163397448","45","39","-0.0137927296364801",""
"300833B2DDD9014000000044","1617968205109373","1","32.5","15","924.125","-66.5","1.30081570812702","74.53125","227","0.00894480951089909",""
"300833B2DDD9014000000039","1617968205116382","1","32.5","15","924.125","-40","5.67879687675264","325.37109375","65","-0.00255178542639085",""
"300833B2DDD9014000000037","1617968205123269","1","32.5","15","924.125","-41","6.16967072887605","353.49609375","71","-0.00548952834018986",""
"300833B2DDD9014000000042","1617968205131768","1","32.5","15","924.125","-55","4.27060251347362","244.6875","65","0.00414420282706431",""
"300833B2DDD9014000000040","1617968205137801","1","32.5","15","924.125","-49.5","2.42982556801086","139.21875","143","-0.0304280688464188",""
"300833B2DDD9014000000043","1617968205144669","1","32.5","15","924.125","-62","4.04970928001809","232.03125","13","0",""
"300833B2DDD9014000000041","1617968205150625","1","32.5","15","924.125","-66","5.35359294972089","306.73828125","-156","0",""
"300833B2DDD9014000000038","1617968205170837","1","32.5","15","924.125","-66","5.6511852225707","323.7890625","-19","-0.00619112650559942",""
"300833B2DDD9014000000042","1617968205227826","1","32.5","15","924.125","-55","4.252194744019","243.6328125","110","-0.00499986090353614",""
"300833B2DDD9014000000039","1617968205234134","1","32.5","15","924.125","-40","5.66038910729802","324.31640625","78","-0.0040787132165218",""
"300833B2DDD9014000000037","1617968205240220","1","32.5","15","924.125","-41","6.12671926681525","351.03515625","58","-0.00958217963278959",""
"300833B2DDD9014000000044","1617968205249940","1","32.5","15","924.125","-66","1.32229143915742","75.76171875","13","0.0039861613687223",""
"300833B2DDD9014000000038","1617968205256937","1","32.5","15","924.125","-64.5","5.59902987578259","320.80078125","149","-0.0158046900066238",""
"300833B2DDD9014000000045","1617968205262903","1","32.5","15","924.125","-60","0.776194278670134","44.47265625","-32","-0.00150234806456337",""
"300833B2DDD9014000000040","1617968205269276","1","32.5","15","924.125","-50","5.51619491323677","316.0546875","52","0",""
"300833B2DDD9014000000043","1617968205275366","1","32.5","15","924.125","-61.5","0.895844780125214","51.328125","130","0",""
"300833B2DDD9014000000041","1617968205296160","1","32.5","15","924.125","-66","2.41141779855623","138.1640625","0","0",""
"300833B2DDD9014000000039","1617968205340491","1","32.5","15","924.125","-40","5.69720464620727","326.42578125","45","0.00903140627644396",""
"300833B2DDD9014000000038","1617968205346653","1","32.5","15","924.125","-64","5.74629203141961","329.23828125","-58","0.0428263978484886",""
"300833B2DDD9014000000042","1617968205353494","1","32.5","15","924.125","-55","4.24605882086745","243.28125","201","-0.0012739298221554",""
"300833B2DDD9014000000037","1617968205359867","1","32.5","15","924.125","-41","6.05922411214828","347.16796875","104","-0.014718416189264",""
"300833B2DDD9014000000040","1617968205366835","1","32.5","15","924.125","-50","2.40834983698046","137.98828125","78","0",""
"300833B2DDD9014000000043","1617968205374283","1","32.5","15","924.125","-61.5","0.954136050064869","54.66796875","-19","0.015375274446869",""
"300833B2DDD9014000000045","1617968205380657","1","32.5","15","924.125","-60","3.89324323965376","223.06640625","104","0",""
"300833B2DDD9014000000041","1617968205389363","1","32.5","15","924.125","-65.5","5.54687452899448","317.8125","52","0",""
"300833B2DDD9014000000044","1617968205395312","1","32.5","15","924.125","-66","1.32229143915742","75.76171875","123","0",""
"300833B2DDD9014000000041","1617968205443480","1","32.5","15","924.125","-65","5.42108810438786","310.60546875","175","-0.060644351391574",""
"300833B2DDD9014000000039","1617968205449591","1","32.5","15","924.125","-40","5.68493279990419","325.72265625","84","-0.00293477933804995",""
"300833B2DDD9014000000040","1617968205456000","1","32.5","15","924.125","-50.5","5.59596191420682","320.625","130","0",""
"300833B2DDD9014000000038","1617968205462100","1","32.5","15","924.125","-64.5","5.74935999299538","329.4140625","39","0.000693358046941995",""
"300833B2DDD9014000000045","1617968205468197","1","32.5","15","924.125","-60","0.705631162427395","40.4296875","162","0",""
"300833B2DDD9014000000037","1617968205475873","1","32.5","15","924.125","-41","2.86240815019461","164.00390625","58","0",""
"300833B2DDD9014000000043","1617968205482228","1","32.5","15","924.125","-61.5","4.1018646268062","235.01953125","52","0",""
"300833B2DDD9014000000042","1617968205488821","1","32.5","15","924.125","-55","4.24299085929168","243.10546875","110","-0.000591501374044444",""
